IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.198.96,4,4,0.00,156.08,18.27
104.16.89.62,4,4,0.00,155.75,13.01
162.159.206.28,4,4,0.00,156.16,11.42
104.16.0.18,4,4,0.00,155.20,9.14
108.162.198.23,4,4,0.00,156.19,9.14
172.64.85.247,4,4,0.00,155.10,8.62
104.16.8.104,4,4,0.00,152.84,8.55
104.16.9.59,4,4,0.00,155.22,8.12
104.16.100.245,4,4,0.00,155.24,7.80
172.64.89.6,4,4,0.00,156.51,7.44
104.16.102.231,4,4,0.00,156.21,7.44
104.16.3.155,4,4,0.00,155.37,6.56
104.16.197.111,4,4,0.00,156.06,6.42
162.159.192.215,4,4,0.00,156.42,6.23
104.17.184.244,4,4,0.00,155.70,5.82
162.159.25.150,4,4,0.00,152.95,5.58
162.159.24.189,4,4,0.00,154.15,5.52
162.159.32.77,4,4,0.00,153.92,5.32
198.41.198.113,4,4,0.00,153.26,5.15
104.16.105.81,4,4,0.00,155.72,5.00
